('Real time:', '2022-07-01 08:31:19')
(1665363804.0, 89.94032258064516)
(1665371110.5, 90.00135135135135)
(1665378720.0, 89.96637168141594)
(1665381962.5, 89.97478632478632)
(1665385419.0, 89.89963235294118)
(1665389099.5, 89.91909090909091)
(1665401480.0, 89.97190082644629)
(1665413178.0, 89.86801801801802)
(1665415549.5, 89.96229508196721)
(1665417875.5, 89.88267716535434)
(1665420986.5, 89.93860294117647)
(1665424149.5, 89.88140495867769)
(1665426686.0, 89.91386554621849)
(1665429447.0, 89.9187969924812)
(1665432270.0, 90.07)
(1665435134.0, 89.92)
(1665438207.5, 89.99330708661418)
(1665441462.5, 89.93518518518519)
(1665446772.5, 89.92653846153847)
(1665452262.5, 89.90787671232877)
(1665456063.5, 89.88991596638657)
(1665463388.5, 89.92466216216216)
(1665469957.0, 89.96507936507936)
(1665472342.5, 89.96913043478261)
(1665474720.0, 89.95852713178294)
(1665477102.0, 89.92099236641222)
(1665479499.0, 90.02851239669421)
(1665481977.0, 89.9312)
(1665511257.5, 89.80905172413794)
(1665540472.0, 89.8108695652174)
(1665543054.0, 89.8482456140351)
(1665545665.5, 89.97290076335878)
(1665548067.0, 89.90952380952382)
(1665589819.5, 89.97282608695652)
(1665631600.0, 89.72245762711864)
(1665633984.0, 89.83692307692309)
(1665636336.0, 89.831640625)
(1665638690.0, 89.91564885496183)
(1665641063.5, 89.85486725663718)
(1665643444.0, 89.88333333333334)
(1665645862.5, 89.9337962962963)
(1665648351.5, 89.87142857142858)
(1665650943.5, 89.94147286821706)
(1665653640.0, 89.88826086956523)
(1665656425.0, 89.92481751824818)
(1665659336.0, 90.03383458646617)
(1665662557.5, 89.9687969924812)
(1665665940.0, 89.91818181818182)
(1665669335.5, 89.98815789473684)
(1665689147.0, 90.02826086956522)
(1665708635.5, 89.93402777777779)
(1665711211.5, 89.85570175438598)
(1665713538.5, 89.90537190082645)
(1665748037.0, 89.72977941176471)
(1665782934.5, 89.93125)
(1665793819.5, 89.7211009174312)
(1665815590.5, 89.53999999999999)
(1665835338.5, 89.70954198473282)
(1665844716.0, 89.96538461538462)
(1665857242.5, 89.9108695652174)
(1665869129.0, 89.92931034482758)
(1665871852.5, 89.85950413223141)
(1665874410.0, 89.97090163934426)
(1665876948.5, 89.93412698412699)
(1665879498.0, 89.99798387096774)
(1665882126.5, 90.02560975609757)
(1665884884.0, 90.0)
(1665887809.5, 90.01902985074626)
(1665890824.5, 89.97170542635659)
(1665893913.0, 90.08252427184466)
(1665897163.0, 90.10884615384614)
(1665900697.0, 89.99850746268656)
(1665904423.5, 89.92898550724638)
(1665908263.5, 90.02170542635659)
(1665912258.5, 90.00108695652175)
(1665916436.5, 90.0145390070922)
(1665920888.0, 90.00952380952381)
(1665931839.5, 89.93759689922481)
(1665941780.5, 89.72385321100919)
(1665944348.5, 89.92265625)
(1665946910.5, 89.8655737704918)
(1665950092.5, 89.8475806451613)
(1665953334.0, 89.83794642857144)
(1665956044.5, 89.82357723577236)
(1665958882.5, 89.82824074074075)
(1665961867.5, 89.92731481481482)
(1665965001.5, 89.87522522522524)
(1665968248.5, 89.9608870967742)
(1665971627.5, 89.93214285714286)
(1665975169.0, 89.91468253968254)
(1665978965.0, 90.04745762711865)
(1666103122.5, 89.7975806451613)
(1666226530.5, 89.82589928057556)
(1666228976.5, 89.83547008547009)
(1666231409.5, 89.7852)
(1666233873.5, 89.759243697479)
(1666236347.0, 89.69772727272728)
(1666238978.5, 89.55756302521009)
(1666241642.0, 89.4781512605042)
(1666244246.0, 89.46666666666667)
(1666246973.5, 89.56044776119403)
(1666261968.0, 89.83201438848921)
(1666276823.5, 89.93953488372094)
